
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    172.16.61.108:49220    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49221    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49222    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49224    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49227    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49232    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49233    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49236    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49240    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49241    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49242    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49245    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49246    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49247    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49249    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49250    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49251    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49255    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49257    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49259    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49261    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49265    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49267    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49268    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49273    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49275    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49278    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49279    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49281    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49283    KBOX:https             CLOSE_WAIT      3212
